,source,edge_type,target,weight
0,tarsal-carpal coalition syndrome,Disease {} is a type of disease,dysostosis,2.345703251194209e-05
1,tarsal-carpal coalition syndrome,Disease {} is a type of disease,autosomal dominant disease,7.025364902801812e-05
2,tarsal-carpal coalition syndrome,"In genetics, disease {} associates with gene",NOG,3.5115535865770653e-06
3,tarsal-carpal coalition syndrome,Disease {} presents symptom,Brachydactyly,1.637691525502305e-06
4,dysostosis,Disease {} is a type of disease,Laurin-Sandrow syndrome,3.469846706138924e-05
5,dysostosis,Disease {} is a type of disease,acrodysostosis,4.683706720243208e-06
6,dysostosis,Disease {} is a type of disease,Cenani-Lenz syndactyly syndrome,9.233825403498486e-05
7,dysostosis,Disease {} is a type of disease,acromelic frontonasal dysostosis,7.708912335147033e-07
8,dysostosis,Disease {} is a type of disease,spondylocostal dysostosis,4.630199782695854e-06
9,dysostosis,Disease {} is a type of disease,synostosis,0.0001490332215325
10,dysostosis,Disease {} resembles disease,synostosis,3.289058804512024e-05
11,dysostosis,Disease {} is a type of disease,multiple synostoses syndrome,2.6275984055246223e-05
12,dysostosis,Disease {} is a type of disease,acrofacial dysostosis,4.986595740774646e-06
13,dysostosis,Disease {} is a type of disease,ischiocoxopodopatellar syndrome,0.0002620442828629
14,dysostosis,Disease {} is a type of disease,brachydactyly,8.648148650536314e-06
15,dysostosis,Disease {} resembles disease,brachydactyly,4.251518021192169e-06
16,dysostosis,Disease {} is a type of disease,acrofrontofacionasal dysostosis,6.256598226173082e-06
17,dysostosis,Disease {} resembles disease,Pfeiffer syndrome,8.338437510246877e-06
18,dysostosis,Disease {} resembles disease,cleidocranial dysplasia,2.07022821996361e-06
19,dysostosis,Disease {} resembles disease,Saethre-Chotzen syndrome,1.7900281818583608e-05
20,dysostosis,Disease {} resembles disease,mucopolysaccharidosis Ih/s,5.228326335782185e-05
21,dysostosis,Disease {} resembles disease,neutropenia,3.311329419375397e-05
22,dysostosis,Disease {} resembles disease,SADDAN,0.0001484868553234
23,dysostosis,Disease {} resembles disease,mucopolysaccharidosis IVA,1.3843619854014833e-05
24,dysostosis,Disease {} resembles disease,mucopolysaccharidosis,6.656725599896163e-05
